case_id,prototype_id,backbone_variant,density_level,lane_count,different_parent_lane_state_count,different_parent_lane_state_ratio,local_selection_id,ours_selection_id
C081,proto_sw_3_2,compact,medium,6,2,0.3333333333333333,proto_sw_3_2__seed_4182263884__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_3_2__seed_4182263884__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_joint_h2b
C082,proto_sw_3_2,compact,medium,6,2,0.3333333333333333,proto_sw_3_2__seed_2661861881__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_3_2__seed_2661861881__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_joint_h2b
C083,proto_sw_3_2,compact,rich,7,4,0.5714285714285714,proto_sw_3_2__seed_1978891010__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_3_2__seed_1978891010__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_joint_h2b
C084,proto_sw_3_2,compact,rich,7,2,0.2857142857142857,proto_sw_3_2__seed_1160715944__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_3_2__seed_1160715944__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_joint_h2b
C085,proto_sw_3_2,swept,simple,5,4,0.8,proto_sw_3_2__seed_2781254137__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_3_2__seed_2781254137__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_joint_h2b
C086,proto_sw_3_2,swept,simple,5,3,0.6,proto_sw_3_2__seed_608345505__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_3_2__seed_608345505__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_joint_h2b
C087,proto_sw_3_2,swept,medium,6,2,0.3333333333333333,proto_sw_3_2__seed_3756345937__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_3_2__seed_3756345937__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_joint_h2b
C088,proto_sw_3_2,swept,medium,6,2,0.3333333333333333,proto_sw_3_2__seed_1989963110__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_3_2__seed_1989963110__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_joint_h2b
C089,proto_sw_3_2,swept,rich,7,3,0.42857142857142855,proto_sw_3_2__seed_548579369__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_3_2__seed_548579369__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_joint_h2b
C090,proto_sw_3_2,swept,rich,7,5,0.7142857142857143,proto_sw_3_2__seed_1105195513__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_3_2__seed_1105195513__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_joint_h2b
