group,sample_id,analysis_role,l1_count,l2_count,l2_per_l1,ordinary_total_length,ordinary_mean_length,vertical_span,occupied_area_ratio
generated_ours,A200,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,6,3,0.5,1.3971449241846037,0.15523832490940037,0.31406338600000006,0.024711028874269007
generated_ours,A209,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,6,2,0.3333333333333333,1.203597129088954,0.15044964113611925,0.42857480099999995,0.021564327485380116
generated_ours,A218,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,6,2,0.3333333333333333,1.3792595116810684,0.17240743896013355,0.40283749799999996,0.020998949195906433
generated_ours,A227,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,6,2,0.3333333333333333,1.3192702999266113,0.16490878749082644,0.36286917799999996,0.02256373355263158
generated_ours,A236,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,6,1,0.16666666666666666,1.2407352581306799,0.17724789401866856,0.47995543900000004,0.022415250365497075
generated_ours,A245,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,6,2,0.3333333333333333,1.3569268840439235,0.1696158605054904,0.37494618200000007,0.023774442616959063
generated_ours,A254,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,6,1,0.16666666666666666,1.2312668155767437,0.17589525936810624,0.449984453,0.017292580409356724
generated_ours,A263,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,6,2,0.3333333333333333,1.3031289673095823,0.16289112091369776,0.337821072,0.023471765350877194
generated_ours,A272,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,5,2,0.4,1.5983011690558582,0.22832873843655116,0.8523699320000001,0.027577896564327485
generated_ours,A281,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,6,1,0.16666666666666666,1.4452805256032566,0.20646864651475094,0.633808427,0.022363852339181287
generated_ours,A290,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,6,2,0.3333333333333333,1.771520639862333,0.22144007998279164,0.6920585770000001,0.031090095029239765
generated_ours,A299,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,6,2,0.3333333333333333,1.4811034439107529,0.18513793048884408,0.756854165,0.02631578947368421
generated_ours,A308,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,5,2,0.4,1.7708260588015947,0.2529751512573707,0.945329909,0.030496162280701754
generated_ours,A317,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,6,2,0.3333333333333333,1.5383519468840194,0.19229399336050246,0.690601872,0.02563048245614035
generated_ours,A326,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,6,1,0.16666666666666666,1.3509153964056122,0.19298791377223032,0.7569258670000001,0.02238669590643275
generated_ours,A335,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,5,1,0.2,1.4331782635751082,0.2388630439291847,0.7902320900000002,0.02537920321637427
generated_ours,A344,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,6,1,0.16666666666666666,1.644204946455043,0.234886420922149,0.8164213680000001,0.027046783625730993
generated_ours,A353,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,6,2,0.3333333333333333,1.5242860097790831,0.1905357512223854,0.735161747,0.026818347953216373
generated_ours,A362,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,6,2,0.3333333333333333,1.5087538680851227,0.18859423351064034,0.490493268,0.026841191520467836
generated_ours,A371,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,6,1,0.16666666666666666,1.4093276850451226,0.2013325264350175,0.576566836,0.02520216557017544
generated_ours,A380,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,6,2,0.3333333333333333,1.5676555780924821,0.19595694726156027,0.573067593,0.0278234649122807
generated_ours,A389,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,6,2,0.3333333333333333,1.4999799124499784,0.1874974890562473,0.5608725689999999,0.025596217105263157
generated_ours,A398,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,6,2,0.3333333333333333,1.5240881774069912,0.1905110221758739,0.5257419640000001,0.027058205409356724
generated_ours,A407,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,6,2,0.3333333333333333,1.5057523455672124,0.18821904319590155,0.4950151409999999,0.026755528143274854
generated_ours,A416,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,6,1,0.16666666666666666,1.3785924524959752,0.19694177892799644,0.654610519,0.02475671600877193
generated_ours,A425,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,6,1,0.16666666666666666,1.3507491111646854,0.1929641587378122,0.6254261139999999,0.02398574561403509
generated_ours,A434,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,6,2,0.3333333333333333,1.5476068935568046,0.1934508616946006,0.5913997839999999,0.02741799159356725
generated_ours,A443,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,6,2,0.3333333333333333,1.8240084047756375,0.2280010505969547,0.6892601329999999,0.03118718019005848
