analysis,control,prototype_id,level,metric,n,mean,median,minimum,maximum,monotonic_triplet_count,monotonic_triplet_fraction,specimen_count,unique_signature_count,unique_signature_ratio,signature_round_decimals
level_distribution,backbone,proto_sw_1_3,swept,l2_count,30,1.4,1.0,1.0,2.0,,,,,,
level_distribution,backbone,proto_sw_1_3,swept,branchunit_count_evaluated,30,5.1,5.0,4.0,6.0,,,,,,
level_distribution,backbone,proto_sw_1_3,swept,ordinary_total_length,30,1.1499003271592976,1.1476004417409553,0.9045041297251035,1.4451012306418005,,,,,,
level_distribution,backbone,proto_sw_1_3,swept,ordinary_mean_length,30,0.17843816584993824,0.18004558876574975,0.15108464165405744,0.20444265285450794,,,,,,
level_distribution,backbone,proto_sw_1_3,swept,mean_backbone_excursion,30,0.07241309128721957,0.07279329201356588,0.040378316562861505,0.09561546646641822,,,,,,
level_distribution,backbone,proto_sw_1_3,swept,vertical_span,30,0.7749908789000001,0.7729557535,0.552526617,0.960025963,,,,,,
level_distribution,backbone,proto_sw_1_3,swept,occupied_area_ratio,30,0.019160042032163743,0.0190344024122807,0.01391173245614035,0.02433982090643275,,,,,,
level_distribution,backbone,proto_sw_1_3,swept,root_coverage_qcov,30,0.5717171718333333,0.545454546,0.393939394,0.757575758,,,,,,
level_distribution,backbone,proto_sw_1_3,swept,root_gap_max,30,0.4282828281666667,0.454545454,0.242424242,0.606060606,,,,,,
level_distribution,backbone,proto_sw_2_3,compact,density_resource_D,30,0.4566821458,0.457969389,0.193065724,0.699591031,,,,,,
level_distribution,backbone,proto_sw_2_3,compact,l1_count,30,6.1,6.0,5.0,7.0,,,,,,
level_distribution,backbone,proto_sw_2_3,compact,l2_count,30,1.8333333333333333,2.0,1.0,4.0,,,,,,
level_distribution,backbone,proto_sw_2_3,compact,branchunit_count_evaluated,30,6.1,6.0,5.0,7.0,,,,,,
level_distribution,backbone,proto_sw_2_3,compact,ordinary_total_length,30,1.3208424141824893,1.3070130561945916,0.9665341172375015,1.631553725145087,,,,,,
level_distribution,backbone,proto_sw_2_3,compact,ordinary_mean_length,30,0.1674052877748083,0.1630470023675641,0.13676848840134542,0.2217843203215327,,,,,,
level_distribution,backbone,proto_sw_2_3,compact,mean_backbone_excursion,30,0.07426685153186423,0.07467996756043122,0.04586497315493385,0.10642262589820753,,,,,,
level_distribution,backbone,proto_sw_2_3,compact,vertical_span,30,0.41506768410000006,0.41767432700000007,0.23693643400000008,0.617450831,,,,,,
level_distribution,backbone,proto_sw_2_3,compact,occupied_area_ratio,30,0.021908694261695904,0.021829883954678365,0.016510188230994153,0.028737207602339183,,,,,,
level_distribution,backbone,proto_sw_2_3,compact,root_coverage_qcov,30,0.6191919191333334,0.636363636,0.5151515150000001,0.6666666670000001,,,,,,
level_distribution,backbone,proto_sw_2_3,compact,root_gap_max,30,0.3808080808666666,0.363636364,0.33333333299999995,0.48484848499999994,,,,,,
level_distribution,backbone,proto_sw_2_3,expanded,density_resource_D,30,0.447203311,0.463818445,0.175670747,0.722684475,,,,,,
level_distribution,backbone,proto_sw_2_3,expanded,l1_count,30,5.9,6.0,5.0,7.0,,,,,,
level_distribution,backbone,proto_sw_2_3,expanded,l2_count,30,1.9666666666666666,2.0,1.0,5.0,,,,,,
level_distribution,backbone,proto_sw_2_3,expanded,branchunit_count_evaluated,30,5.9,6.0,5.0,7.0,,,,,,
level_distribution,backbone,proto_sw_2_3,expanded,ordinary_total_length,30,1.3259897667450151,1.3029775060872721,0.9632447605122002,1.7168197216666354,,,,,,
level_distribution,backbone,proto_sw_2_3,expanded,ordinary_mean_length,30,0.17037032229007978,0.17296893983056127,0.1302826044864962,0.1979397299270249,,,,,,
