file,object_id,title,object_name,classification,medium,date,culture,source_page,image_url,rights
met_625831.jpg,625831,"Decorative border panel with flaming candelabra ornamented with foliate designs, swags, and a cow's skull, from Life of the Virgin and Christ",Print,Prints,Engraving,1490–1500,,https://www.metmuseum.org/art/collection/search/625831,https://images.metmuseum.org/CRDImages/dp/web-large/DP833937.jpg,The Met Open Access; Public Domain
met_659755.jpg,659755,"Convivio delle Belle Donne, page 4 (verso)",Books Prints Ornament & Architecture,Books,Woodcut,August 1532,,https://www.metmuseum.org/art/collection/search/659755,https://images.metmuseum.org/CRDImages/dp/web-large/DP366798.jpg,The Met Open Access; Public Domain
met_659757.jpg,659757,"Convivio delle Belle Donne, page 5 (recto)",Books Prints Ornament & Architecture,Books,Woodcut,August 1532,,https://www.metmuseum.org/art/collection/search/659757,https://images.metmuseum.org/CRDImages/dp/web-large/DP366797.jpg,The Met Open Access; Public Domain
met_659758.jpg,659758,"Convivio delle Belle Donne, page 5 (verso)",Books Prints Ornament & Architecture,Books,Woodcut,August 1532,,https://www.metmuseum.org/art/collection/search/659758,https://images.metmuseum.org/CRDImages/dp/web-large/DP366800.jpg,The Met Open Access; Public Domain
met_659760.jpg,659760,"Convivio delle Belle Donne, page 6 (verso)",Books Prints Ornament & Architecture,Books,Woodcut,August 1532,,https://www.metmuseum.org/art/collection/search/659760,https://images.metmuseum.org/CRDImages/dp/web-large/DP366802.jpg,The Met Open Access; Public Domain
met_659762.jpg,659762,"Convivio delle Belle Donne, page 7 (verso)",Books Prints Ornament & Architecture,Books,Woodcut,August 1532,,https://www.metmuseum.org/art/collection/search/659762,https://images.metmuseum.org/CRDImages/dp/web-large/DP366804.jpg,The Met Open Access; Public Domain
met_659763.jpg,659763,"Convivio delle Belle Donne, page 8 (recto)",Books Prints Ornament & Architecture,Books,Woodcut,August 1532,,https://www.metmuseum.org/art/collection/search/659763,https://images.metmuseum.org/CRDImages/dp/web-large/DP366803.jpg,The Met Open Access; Public Domain
met_659766.jpg,659766,"Convivio delle Belle Donne, page 9 (verso)",Books Prints Ornament & Architecture,Books,Woodcut,August 1532,,https://www.metmuseum.org/art/collection/search/659766,https://images.metmuseum.org/CRDImages/dp/web-large/DP366808.jpg,The Met Open Access; Public Domain
met_659767.jpg,659767,"Convivio delle Belle Donne, page 10 (recto)",Books Prints Ornament & Architecture,Books,Woodcut,August 1532,,https://www.metmuseum.org/art/collection/search/659767,https://images.metmuseum.org/CRDImages/dp/web-large/DP366807.jpg,The Met Open Access; Public Domain
met_659768.jpg,659768,"Convivio delle Belle Donne, page 10 (verso)",Books Prints Ornament & Architecture,Books,Woodcut,August 1532,,https://www.metmuseum.org/art/collection/search/659768,https://images.metmuseum.org/CRDImages/dp/web-large/DP366810.jpg,The Met Open Access; Public Domain
met_659798.jpg,659798,"Convivio delle Belle Donne, page 17 (verso)",Books Prints Ornament & Architecture,Books,Woodcut,August 1532,,https://www.metmuseum.org/art/collection/search/659798,https://images.metmuseum.org/CRDImages/dp/web-large/DP366824.jpg,The Met Open Access; Public Domain
met_659800.jpg,659800,"Convivio delle Belle Donne, page 18 (verso)",Books Prints Ornament & Architecture,Books,Woodcut,August 1532,,https://www.metmuseum.org/art/collection/search/659800,https://images.metmuseum.org/CRDImages/dp/web-large/DP366826.jpg,The Met Open Access; Public Domain
