case_id,matrix_id,method,prototype_id,backbone_variant,density_level,replicate,production_seed,generation_success,error_type,error_message,ordinary_l1_count,selected_l1_only_count,selected_l2_count,branchunit_count,stage3_runtime_seconds,stage4_runtime_seconds,conflict_graph_runtime_seconds,selection_runtime_seconds,render_runtime_seconds,total_runtime_seconds,l1_candidate_count,branchunit_candidate_count,conflict_edge_count,pair_penalty_count,search_node_count,search_node_limit,search_node_limit_reached,case_dir
A139,A,Ours,proto_sw_1_3,compact,simple,6,200005,1,,,4,3,2,4,58.26783699999942,1.277224399997067,0.9851208000000042,0.00245109999741544,0.027658300001348834,60.57892360000187,1118,100,0,180,129,300000,0,raw_cases/A139
A140,A,Ours,proto_sw_1_3,compact,medium,6,200005,1,,,6,4,2,6,31.682666500000778,1.9174582000014198,1.8184118999997736,0.0024589000022388063,0.02974009999888949,35.465234000002965,1118,150,129,512,250,300000,0,raw_cases/A140
A141,A,Ours,proto_sw_1_3,compact,rich,6,200005,1,,,6,4,2,6,58.34031689999756,1.9232406000010087,4.979323299998214,0.008217700000386685,0.02633820000119158,65.29120989999865,1118,150,370,1703,2719,300000,0,raw_cases/A141
A142,A,Ours,proto_sw_1_3,swept,simple,6,200005,1,,,4,3,1,4,27.27845999999772,1.2815207000021474,0.6917687999994087,0.0015175000007729977,0.030984799999714596,29.297103199998674,885,100,0,190,102,300000,0,raw_cases/A142
A143,A,Ours,proto_sw_1_3,swept,medium,6,200005,1,,,5,3,2,5,27.391360700003133,1.5982750000002852,1.586321599999792,0.005693700000847457,0.02421630000026198,30.620540100000653,885,125,112,627,711,300000,0,raw_cases/A143
A144,A,Ours,proto_sw_1_3,swept,rich,6,200005,1,,,6,4,2,6,47.35550650000005,1.9273844999988796,3.166503099997499,0.008313700000144308,0.034563799999887124,52.50800150000214,885,150,70,766,920,300000,0,raw_cases/A144
A145,A,Ours,proto_sw_1_3,expanded,simple,7,200006,1,,,4,3,1,4,15.703659700000571,1.2045011000009254,0.683135700001003,0.001392500002111774,0.0252306000002136,17.63330330000099,868,100,0,305,92,300000,0,raw_cases/A145
A146,A,Ours,proto_sw_1_3,expanded,medium,7,200006,1,,,5,4,1,5,15.596435200000997,1.6289097999979276,1.3515263000008417,0.0018933000028482638,0.024348199996893527,18.618204099999275,868,125,59,607,160,300000,0,raw_cases/A146
A147,A,Ours,proto_sw_1_3,expanded,rich,7,200006,1,,,6,5,1,6,15.688855199998216,1.8731206999982533,2.097988000001351,0.003446900002018083,0.02539510000133305,19.702224299999216,868,150,186,844,287,300000,0,raw_cases/A147
A148,A,Ours,proto_sw_1_3,compact,simple,7,200006,1,,,4,3,2,4,33.402728100001696,1.2952159000014944,0.7701302999994368,0.0023698999975749757,0.025229799997759983,35.509160699999484,1326,100,0,267,114,300000,0,raw_cases/A148
A149,A,Ours,proto_sw_1_3,compact,medium,7,200006,1,,,6,5,1,6,33.52260209999804,1.900203999997757,2.375641300001007,0.0031195000010484364,0.034369800003332784,37.854157300000224,1326,150,198,567,201,300000,0,raw_cases/A149
A150,A,Ours,proto_sw_1_3,compact,rich,7,200006,1,,,6,5,1,6,33.55904440000086,1.982185599998047,2.2870957999984967,0.002733100001933053,0.030194499999197433,37.87941359999968,1326,150,0,412,187,300000,0,raw_cases/A150
A151,A,Ours,proto_sw_1_3,swept,simple,7,200006,1,,,4,3,1,4,27.623023699998157,1.2234427999974287,1.1795910999971966,0.001726099999359576,0.02734700000291923,30.068347399999766,819,100,12,298,88,300000,0,raw_cases/A151
A152,A,Ours,proto_sw_1_3,swept,medium,7,200006,1,,,5,4,1,5,27.131759500000044,1.5427565999998478,1.4076947000030486,0.0020279999989725184,0.022935000000870787,30.12188480000259,819,125,14,378,173,300000,0,raw_cases/A152
A153,A,Ours,proto_sw_1_3,swept,rich,7,200006,1,,,6,5,1,6,27.147684600000503,1.8835012000017741,1.9248388999985764,0.002915100001700921,0.024157399999239715,30.99601089999851,819,150,0,760,303,300000,0,raw_cases/A153
A154,A,Ours,proto_sw_1_3,expanded,simple,8,200007,1,,,4,3,1,4,15.956261899998935,1.243870700000116,0.5710985000005167,0.001255800001672469,0.02892299999803072,17.81671209999695,870,100,40,342,114,300000,0,raw_cases/A154
A155,A,Ours,proto_sw_1_3,expanded,medium,8,200007,1,,,5,4,1,5,15.871031400001812,1.643625199998496,2.0986382000010053,0.0030941000004531816,0.026475700000446523,19.660313899999892,870,125,55,1009,154,300000,0,raw_cases/A155
A156,A,Ours,proto_sw_1_3,expanded,rich,8,200007,1,,,6,5,1,6,15.920703200001299,1.8507259999969392,4.058737999999721,0.004037599999719532,0.028376700000080746,21.875436000002082,870,150,55,1317,328,300000,0,raw_cases/A156
A157,A,Ours,proto_sw_1_3,compact,simple,8,200007,1,,,4,3,1,4,31.474268000001757,1.2109014999987266,2.05764050000289,0.0023836000000301283,0.026220700001431396,34.788300700001855,1336,100,72,484,116,300000,0,raw_cases/A157
A158,A,Ours,proto_sw_1_3,compact,medium,8,200007,1,,,6,5,1,6,31.3756386999994,1.9238588999978674,3.1929822000020067,0.002979500000947155,0.030143600000883453,36.53891989999829,1336,150,130,1031,198,300000,0,raw_cases/A158
A159,A,Ours,proto_sw_1_3,compact,rich,8,200007,1,,,6,5,1,6,31.301082400001178,1.8962558999992325,2.4302056000015,0.0034873000004154164,0.029488000000128523,35.68282899999758,1336,150,51,494,247,300000,0,raw_cases/A159
A160,A,Ours,proto_sw_1_3,swept,simple,8,200007,1,,,4,3,1,4,28.0517918000005,1.279900199999247,1.4886998000001768,0.0025106000030064024,0.02422870000009425,30.861365400000068,814,100,0,409,133,300000,0,raw_cases/A160
A161,A,Ours,proto_sw_1_3,swept,medium,8,200007,1,,,5,4,1,5,27.76842680000118,1.5882486999980756,2.3713406000024406,0.0039146999988588504,0.029446799999277573,31.778995199998462,814,125,296,540,231,300000,0,raw_cases/A161
A162,A,Ours,proto_sw_1_3,swept,rich,8,200007,1,,,6,5,1,6,42.04360430000088,1.9979390000007697,2.9527501999982633,0.003144800000882242,0.024479299998347415,47.036701999997604,814,150,372,733,69,300000,0,raw_cases/A162
A163,A,Ours,proto_sw_1_3,expanded,simple,9,200008,1,,,4,3,1,4,15.278349000000162,1.2489524000011443,0.7389000000002852,0.0019706000020960346,0.025461700002779253,17.307881700002326,862,100,0,258,97,300000,0,raw_cases/A163
A164,A,Ours,proto_sw_1_3,expanded,medium,9,200008,1,,,5,4,1,5,15.466011600001366,1.615480699998443,1.1245936999985133,0.002732799999648705,0.024037999999563908,18.24973559999853,862,125,0,406,166,300000,0,raw_cases/A164
A165,A,Ours,proto_sw_1_3,expanded,rich,9,200008,1,,,6,5,1,6,15.380817899997055,1.904731200000242,1.8107278999996197,0.00289859999975306,0.024002599999221275,19.14223579999816,862,150,0,664,209,300000,0,raw_cases/A165
A166,A,Ours,proto_sw_1_3,compact,simple,9,200008,1,,,4,3,1,4,30.41464300000007,1.2534478999987186,1.0928055999975186,0.0022824000006949063,0.023578399999678368,32.807144999998854,1155,100,31,275,101,300000,0,raw_cases/A166
A167,A,Ours,proto_sw_1_3,compact,medium,9,200008,1,,,6,5,2,6,30.4296918,1.9275704000028782,2.8768187999994552,0.0031579999995301478,0.026265299999067793,35.27956859999904,1155,150,200,895,363,300000,0,raw_cases/A167
A168,A,Ours,proto_sw_1_3,compact,rich,9,200008,1,,,6,5,1,6,30.3402634999984,1.8870590000005905,3.049775599996792,0.004380399997899076,0.03427409999858355,35.335439999998925,1155,150,372,1091,195,300000,0,raw_cases/A168
A169,A,Ours,proto_sw_1_3,swept,simple,9,200008,1,,,4,3,1,4,27.21848339999997,1.2989345000023604,0.8477177999993728,0.002347699999518227,0.026577599997835932,29.40694070000245,888,100,7,247,112,300000,0,raw_cases/A169
A170,A,Ours,proto_sw_1_3,swept,medium,9,200008,1,,,5,4,1,5,27.074223299998266,1.5869807999988552,1.4611141000023053,0.0028366999977151863,0.0281963999987056,30.171430800000962,888,125,0,514,141,300000,0,raw_cases/A170
A171,A,Ours,proto_sw_1_3,swept,rich,9,200008,1,,,6,5,1,6,27.204083999997238,1.9297106000012718,2.4075234000010823,0.002908999998908257,0.03071480000289739,31.589541100001952,888,150,72,773,280,300000,0,raw_cases/A171
A172,A,Ours,proto_sw_1_3,expanded,simple,10,200009,1,,,4,3,1,4,17.032233400001132,1.2869967000006,0.8235590000003867,0.001719500000035623,0.027040600001782877,19.18939390000014,868,100,0,440,206,300000,0,raw_cases/A172
A173,A,Ours,proto_sw_1_3,expanded,medium,10,200009,1,,,6,4,2,6,28.441703600001347,1.866858500001399,1.1583049000000756,0.0025788999992073514,0.028456899999582674,31.511191199999303,868,150,80,562,889,300000,0,raw_cases/A173
A174,A,Ours,proto_sw_1_3,expanded,rich,10,200009,1,,,6,4,2,6,28.524479299998347,1.8420909000014944,2.4635293999999703,0.00389030000224011,0.03354830000171205,32.8825934000015,868,150,0,684,688,300000,0,raw_cases/A174
A175,A,Ours,proto_sw_1_3,compact,simple,10,200009,1,,,4,3,1,4,35.876873199998954,1.2973869999987073,1.4634793999975955,0.003012799999851268,0.028555500000948086,38.68535669999983,1127,100,258,490,151,300000,0,raw_cases/A175
A176,A,Ours,proto_sw_1_3,compact,medium,10,200009,1,,,6,4,2,6,36.063675299999886,1.9055063000014343,2.447657900000195,0.00667069999690284,0.02958510000098613,40.47058079999988,1127,150,27,705,810,300000,0,raw_cases/A176
A177,A,Ours,proto_sw_1_3,compact,rich,10,200009,1,,,6,4,2,6,35.74928469999941,1.904735799998889,2.863068899998325,0.007484599998861086,0.02643800000078045,40.568104400001175,1127,150,0,495,733,300000,0,raw_cases/A177
A178,A,Ours,proto_sw_1_3,swept,simple,10,200009,1,,,4,3,1,4,26.32591229999889,1.243033100003231,1.5150457999989158,0.0025912000019161496,0.026438199998665368,29.131054699999368,822,100,0,682,98,300000,0,raw_cases/A178
A179,A,Ours,proto_sw_1_3,swept,medium,10,200009,1,,,6,4,2,6,42.27600049999819,1.8945954000009806,2.671007799999643,0.003944299998693168,0.029554699998698197,46.890240099997754,822,150,110,900,483,300000,0,raw_cases/A179
A180,A,Ours,proto_sw_1_3,swept,rich,10,200009,1,,,6,4,2,6,42.22952829999849,1.9622458999983792,2.8366556000000855,0.004476600002817577,0.029404600001726067,47.07568099999844,822,150,1,613,1076,300000,0,raw_cases/A180
A181,A,Ours,proto_sw_2_3,expanded,simple,1,200000,1,,,5,3,2,5,21.149360100000195,1.4268456999998307,6.72774919999938,0.008337800001754658,0.025283099999796832,29.35153949999949,1512,170,743,1792,1318,300000,0,raw_cases/A181
A182,A,Ours,proto_sw_2_3,expanded,medium,1,200000,1,,,6,4,2,6,21.424393000001146,1.699738299997989,5.868389499999466,0.004619100000127219,0.026310100001865067,29.03856359999918,1512,204,0,1455,689,300000,0,raw_cases/A182
A183,A,Ours,proto_sw_2_3,expanded,rich,1,200000,1,,,7,4,4,7,21.31018309999854,2.0559360000006563,8.73335760000191,0.04044729999804986,0.0339968999978737,32.19004910000149,1512,238,446,2320,14813,300000,0,raw_cases/A183
A184,A,Ours,proto_sw_2_3,compact,simple,1,200000,1,,,6,4,2,6,21.511057799998525,1.7995154999989609,1.4587537000006705,0.002626800000143703,0.031135299999732524,24.818270399999165,1476,204,217,650,663,300000,0,raw_cases/A184
A185,A,Ours,proto_sw_2_3,compact,medium,1,200000,1,,,6,4,2,6,21.556835899998987,1.7752021000014793,3.3238329000014346,0.010304200000973651,0.02327069999955711,26.706610099998215,1476,204,159,1083,5052,300000,0,raw_cases/A185
A186,A,Ours,proto_sw_2_3,compact,rich,1,200000,1,,,7,4,4,7,21.765447900001163,1.9861568999986048,9.298027200002252,0.027640699998300988,0.03165660000013304,33.12700019999829,1476,238,393,2107,19202,300000,0,raw_cases/A186
