case_id,source_group,prototype_id,backbone_variant,density_level,replicate,production_seed,formal_triple_png,formal_triple_svg,formal_single_svg,mechanical_validity,single_review_source_svg,single_review_mode
A049,matrix_A,proto_sw_1_1,compact,simple,6,200005,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A049/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A049/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A049/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A050,matrix_A,proto_sw_1_1,compact,medium,6,200005,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A050/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A050/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A050/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A051,matrix_A,proto_sw_1_1,compact,rich,6,200005,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A051/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A051/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A051/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A052,matrix_A,proto_sw_1_1,swept,simple,6,200005,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A052/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A052/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A052/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A053,matrix_A,proto_sw_1_1,swept,medium,6,200005,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A053/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A053/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A053/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A054,matrix_A,proto_sw_1_1,swept,rich,6,200005,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A054/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A054/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A054/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A055,matrix_A,proto_sw_1_1,expanded,simple,7,200006,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A055/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A055/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A055/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A056,matrix_A,proto_sw_1_1,expanded,medium,7,200006,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A056/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A056/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A056/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A057,matrix_A,proto_sw_1_1,expanded,rich,7,200006,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A057/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A057/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A057/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A058,matrix_A,proto_sw_1_1,compact,simple,7,200006,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A058/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A058/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A058/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A059,matrix_A,proto_sw_1_1,compact,medium,7,200006,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A059/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A059/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A059/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A060,matrix_A,proto_sw_1_1,compact,rich,7,200006,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A060/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A060/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A060/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A061,matrix_A,proto_sw_1_1,swept,simple,7,200006,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A061/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A061/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A061/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A062,matrix_A,proto_sw_1_1,swept,medium,7,200006,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A062/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A062/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A062/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A063,matrix_A,proto_sw_1_1,swept,rich,7,200006,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A063/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A063/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A063/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A064,matrix_A,proto_sw_1_1,expanded,simple,8,200007,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A064/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A064/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A064/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A065,matrix_A,proto_sw_1_1,expanded,medium,8,200007,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A065/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A065/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A065/formal_triple.svg,central_period_viewport_from_formal_triple_svg
