case_id,method,prototype_id,backbone_variant,density_level,replicate,production_seed,generation_success,l1_generation_success,unit_generation_applicable,unit_generation_success,error_type,error_message,ordinary_l1_count,selected_l2_count,branchunit_count,shared_stage3_plan_id,shared_stage4_inventory_id,shared_conflict_graph_id,method_plan_id,method_selection_id,runtime_seconds,method_dir
C030,IndependentCurve,proto_sw_1_3,compact,rich,2,100017,1,1,0,0,,,6,0,6,proto_sw_1_3__seed_2772902747__global_l1_flow_v3__density_rich,,,proto_sw_1_3__seed_2772902747__global_l1_flow_v3__density_rich__baseline_independentcurve,proto_sw_1_3__seed_2772902747__global_l1_flow_v3__density_rich__baseline_independentcurve__selection,0.05233290000251145,raw_cases/C030/methods/IndependentCurve
C030,FixedSlot,proto_sw_1_3,compact,rich,2,100017,0,0,1,0,GlobalL1FlowError,global candidate pool has no complete compatible assignment,,,,,,,,,0.22571360000074492,
C030,LocalGreedy,proto_sw_1_3,compact,rich,2,100017,1,1,1,1,,,6,1,6,proto_sw_1_3__seed_2772902747__global_l1_flow_v3__density_rich,proto_sw_1_3__seed_2772902747__global_l1_flow_v3__density_rich__unit_candidates_v2,4ccf75084171d6e5aca87085bc439f59a21737fb64a7408b0999fc91c5a56dc8,proto_sw_1_3__seed_2772902747__global_l1_flow_v3__density_rich,proto_sw_1_3__seed_2772902747__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_sparse5e,0.0448526000000129,raw_cases/C030/methods/LocalGreedy
C030,Ours,proto_sw_1_3,compact,rich,2,100017,1,1,1,1,,,6,1,6,proto_sw_1_3__seed_2772902747__global_l1_flow_v3__density_rich,proto_sw_1_3__seed_2772902747__global_l1_flow_v3__density_rich__unit_candidates_v2,4ccf75084171d6e5aca87085bc439f59a21737fb64a7408b0999fc91c5a56dc8,proto_sw_1_3__seed_2772902747__global_l1_flow_v3__density_rich,proto_sw_1_3__seed_2772902747__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_joint_h2b,0.05260619999899063,raw_cases/C030/methods/Ours
C031,IndependentCurve,proto_sw_1_3,swept,simple,1,100004,1,1,0,0,,,4,0,4,proto_sw_1_3__seed_3906224916__global_l1_flow_v3__density_simple,,,proto_sw_1_3__seed_3906224916__global_l1_flow_v3__density_simple__baseline_independentcurve,proto_sw_1_3__seed_3906224916__global_l1_flow_v3__density_simple__baseline_independentcurve__selection,0.049106800001027295,raw_cases/C031/methods/IndependentCurve
C031,FixedSlot,proto_sw_1_3,swept,simple,1,100004,1,1,1,1,,,4,1,4,proto_sw_1_3__seed_3906224916__global_l1_flow_v3__density_simple,,,proto_sw_1_3__seed_3906224916__global_l1_flow_v3__density_simple__baseline_fixedslot,proto_sw_1_3__seed_3906224916__global_l1_flow_v3__density_simple__baseline_fixedslot__unit_candidates_v2__global_unit_selection_joint_h2b,2.6906145999964792,raw_cases/C031/methods/FixedSlot
C031,LocalGreedy,proto_sw_1_3,swept,simple,1,100004,1,1,1,1,,,4,2,4,proto_sw_1_3__seed_3906224916__global_l1_flow_v3__density_simple,proto_sw_1_3__seed_3906224916__global_l1_flow_v3__density_simple__unit_candidates_v2,baa86225faca7faab3762829f627843671525f3485530037a54946d5b471fdb9,proto_sw_1_3__seed_3906224916__global_l1_flow_v3__density_simple,proto_sw_1_3__seed_3906224916__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_sparse5e,0.04966159999821684,raw_cases/C031/methods/LocalGreedy
C031,Ours,proto_sw_1_3,swept,simple,1,100004,1,1,1,1,,,4,1,4,proto_sw_1_3__seed_3906224916__global_l1_flow_v3__density_simple,proto_sw_1_3__seed_3906224916__global_l1_flow_v3__density_simple__unit_candidates_v2,baa86225faca7faab3762829f627843671525f3485530037a54946d5b471fdb9,proto_sw_1_3__seed_3906224916__global_l1_flow_v3__density_simple,proto_sw_1_3__seed_3906224916__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_joint_h2b,0.048340499997721054,raw_cases/C031/methods/Ours
C032,IndependentCurve,proto_sw_1_3,swept,simple,2,100009,1,1,0,0,,,4,0,4,proto_sw_1_3__seed_548579369__global_l1_flow_v3__density_simple,,,proto_sw_1_3__seed_548579369__global_l1_flow_v3__density_simple__baseline_independentcurve,proto_sw_1_3__seed_548579369__global_l1_flow_v3__density_simple__baseline_independentcurve__selection,0.04694690000178525,raw_cases/C032/methods/IndependentCurve
C032,FixedSlot,proto_sw_1_3,swept,simple,2,100009,1,1,1,1,,,4,1,4,proto_sw_1_3__seed_548579369__global_l1_flow_v3__density_simple,,,proto_sw_1_3__seed_548579369__global_l1_flow_v3__density_simple__baseline_fixedslot,proto_sw_1_3__seed_548579369__global_l1_flow_v3__density_simple__baseline_fixedslot__unit_candidates_v2__global_unit_selection_joint_h2b,3.616526400001021,raw_cases/C032/methods/FixedSlot
