"candidate","rank","reference","score","phash_distance","sift_inliers","inlier_ratio","feature_coverage","structure_score","likely_duplicate"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_019__sina_19_sheet05_row02.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\015__local_B__Snipaste_2026-04-18_15-50-53.png","14.3936","28","0","0.0","0.0","0.1199","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_019__sina_19_sheet05_row02.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\014__local_B__Snipaste_2026-04-13_15-34-57.png","13.5256","26","0","0.0","0.0","0.1127","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_020__sina_20_sheet05_row03.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\055__strict2_A__A18_d625113_p59_i01_397x104.png","20.6275","24","0","0.0","0.0","0.1719","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_020__sina_20_sheet05_row03.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A03__candidate_070__D01448673_tang_ceiling_pattern_p144_i08_x2023_305x146.png","19.1993","26","3","0.0","0.0","0.1561","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_021__sina_21_sheet05_row04.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\067__strict2_A__A30_d01451691_p18_i00_617x180.jpeg","12.177","28","3","0.0","0.0","0.099","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_021__sina_21_sheet05_row04.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\003__local_A__Snipaste_2026-04-13_15-46-48.png","12.001","32","0","0.0","0.0","0.1","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_022__sina_22_sheet05_row05.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\055__strict2_A__A18_d625113_p59_i01_397x104.png","26.001","30","0","0.0","0.0","0.2167","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_022__sina_22_sheet05_row05.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A09__candidate_082__D01448673_tang_ceiling_pattern_p162_i05_x2220_590x78.png","25.772","30","0","0.0","0.0","0.2148","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_023__sina_23_sheet06_row01.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\033__strict1_B__B03_traditional_art_mogao310_flower_vine.png","17.1201","32","2","0.0","0.0","0.1403","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_023__sina_23_sheet06_row01.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\020__local_B__Snipaste_2026-04-18_15-56-05.png","16.0843","30","4","1.0","0.0215","0.1157","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_024__sina_24_sheet06_row02.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\055__strict2_A__A18_d625113_p59_i01_397x104.png","27.7839","24","3","0.0","0.0","0.2259","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_024__sina_24_sheet06_row02.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\042__strict2_A__A03_d625113_p22_i01_304x115.png","27.4561","24","0","0.0","0.0","0.2288","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_025__sina_25_sheet06_row03.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\055__strict2_A__A18_d625113_p59_i01_397x104.png","19.8541","32","4","1.0","0.0094","0.1428","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_025__sina_25_sheet06_row03.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\R04__meyer_04_p95_fig1_natural_flower_vine.png","18.5857","32","5","0.5","0.0118","0.1403","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_026__sina_26_sheet06_row04.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\042__strict2_A__A03_d625113_p22_i01_304x115.png","25.7746","32","4","1.0","0.008","0.1854","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_026__sina_26_sheet06_row04.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A28__candidate_194__D01448673_tang_ceiling_pattern_p245_i05_x3133_303x102.png","18.6018","36","0","0.0","0.0","0.155","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_027__sina_27_sheet06_row05.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\063__strict2_A__A26_d01430115_p66_i08_263x122.jpeg","15.3123","24","2","0.0","0.0","0.1255","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_027__sina_27_sheet06_row05.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\007__local_A__Snipaste_2026-04-13_15-54-46.png","14.963","24","4","1.0","0.0082","0.1076","no"
