"candidate","rank","reference","score","phash_distance","sift_inliers","inlier_ratio","feature_coverage","structure_score","likely_duplicate"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_019__sina_19_sheet05_row02.png","1","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn04_sina_sheet01_row01_camellia.png","8.6088","24","3","0.0","0.0","0.07","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_019__sina_19_sheet05_row02.png","2","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn14_zs321_dense_flower_scroll.png","8.0514","34","0","0.0","0.0","0.0671","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_019__sina_19_sheet05_row02.png","3","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn11_baidu_narrow_leafy_stem.png","7.4304","24","1","0.0","0.0","0.0614","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_020__sina_20_sheet05_row03.png","1","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn09_baidu_flower_loop_row.png","14.4304","30","1","0.0","0.0","0.1193","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_020__sina_20_sheet05_row03.png","2","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn05_sina_sheet01_row03_camellia.png","14.2289","26","4","0.2","0.0089","0.112","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_020__sina_20_sheet05_row03.png","3","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn19_zs225_bottom_botanical_scroll.png","14.212","38","4","0.6667","0.0089","0.1061","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_021__sina_21_sheet05_row04.png","1","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn09_baidu_flower_loop_row.png","10.7084","26","0","0.0","0.0","0.0892","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_021__sina_21_sheet05_row04.png","2","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn12_nipic_honeysuckle_sweep.png","8.3506","34","0","0.0","0.0","0.0696","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_021__sina_21_sheet05_row04.png","3","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn13_nipic_honeysuckle_spiral.png","5.7644","36","0","0.0","0.0","0.048","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_022__sina_22_sheet05_row05.png","1","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn09_baidu_flower_loop_row.png","18.7282","30","0","0.0","0.0","0.1561","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_022__sina_22_sheet05_row05.png","2","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn14_zs321_dense_flower_scroll.png","18.3689","30","4","0.4","0.01","0.1413","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_022__sina_22_sheet05_row05.png","3","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn20_zs196_continuous_scroll.png","17.0122","28","6","0.3529","0.015","0.1296","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_023__sina_23_sheet06_row01.png","1","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn18_zs217_fruit_flower_scroll.png","13.5565","22","0","0.0","0.0","0.113","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_023__sina_23_sheet06_row01.png","2","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn12_nipic_honeysuckle_sweep.png","12.1922","30","1","0.0","0.0","0.1008","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_023__sina_23_sheet06_row01.png","3","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn11_baidu_narrow_leafy_stem.png","12.0129","26","2","0.0","0.0","0.0985","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_024__sina_24_sheet06_row02.png","1","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn14_zs321_dense_flower_scroll.png","18.7042","28","0","0.0","0.0","0.1559","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_024__sina_24_sheet06_row02.png","2","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn18_zs217_fruit_flower_scroll.png","18.5146","30","1","0.0","0.0","0.153","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_024__sina_24_sheet06_row02.png","3","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn19_zs225_bottom_botanical_scroll.png","16.8126","22","0","0.0","0.0","0.1401","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_025__sina_25_sheet06_row03.png","1","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn18_zs217_fruit_flower_scroll.png","15.7897","34","4","1.0","0.0094","0.1136","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_025__sina_25_sheet06_row03.png","2","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn19_zs225_bottom_botanical_scroll.png","13.9081","26","3","0.2","0.0071","0.1104","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_025__sina_25_sheet06_row03.png","3","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn14_zs321_dense_flower_scroll.png","13.5006","26","5","0.2273","0.0118","0.1051","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_026__sina_26_sheet06_row04.png","1","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn18_zs217_fruit_flower_scroll.png","14.1858","26","5","0.5","0.0099","0.1071","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_026__sina_26_sheet06_row04.png","2","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn19_zs225_bottom_botanical_scroll.png","12.987","30","3","0.0","0.0","0.1056","no"
